iter	Passed	Remaining
420	18189	25015
421	18223	24960
4422	18293	24953423	18296	24856
424	18339	24812
425	18372	247426426	18407	24701
427	18444	24649
428	18510	246429429	18555	245430430	18615	2454314431	18714	244324432	18750	244334433	18800	244344434	18835	244354435	18876	244364436	18913	244374437	18952	244384438	18992	244434439	19030	244444440	19102	244441441	19148	244444442	19195	241444443	19238	240444444	19275	240444445	19312	239444446	19345	239447447	19389	238448448	19429	238449449	19462	237450450	19501	237451451	19536	236452452	19566	236453453	19604	234454454	19642	235455455	19682	234456456	19721	234457	19711	233264458	19744	232714459	19789	232304460	19823	231774461	19857	231244462	19894	230734463	19934	230274464	19975	229824465	20012	229324466	20047	228814467	20085	228324468	20128	22789
469	20177	22752
470	20212	22702
471	20248	22650
472	20283	22598
473	20320	22549
474	20361	225044475	20405	22463
476	20438	22409
477	20472	22357
478	20503	22301
479	20546	22258
480	20581	22207
481	20630	22171
482	20669	22124
483	20703	22072
484	20738	22021
485	20778	21975
486	20823	21934
487	20857	21883
488	20895	21835
489	20927	21781
490	20971	21740
491	21009	21693
492	21043	21641
493493	21119	216494	21116	21543
495	21151	21492
496	21190	21446
497497	21271	214498	21269	21354
499499	21343	213500500	21381	212501	21388	21218
502	21425	21170
503	21468	21127
504	21496	21070
505505	21575	210506506	21612	210507507	21658	209508508	21695	209509	21688	20838
510	21730	20795
511	21778	20757
512	21820	20714
513	21853	20662
514514	21924	206515515	21959	205516516	21992	205517517	22040	205518518	22080	204519519	22113	204520520	22144	203521521	22177	203522522	22210	202523523	22251	202524524	22286	201525525	22320	201526526	22354	200525527	22390	200525528	22424	19952529	22448	199053530	22488	198653531	22525	198153532	22559	197653533	22595	197153534	22631	1967535	22642	19601
536	22682	19557
537	22723	19513
538	22756	19463
539	22798	19420
540	22834	19373
541	22868	19323
542	22906	19278
543	22942	19231
544	22982	19187
545	23022	19143
546	23067	19103
547	23100	19053
548	23135	19006
549	23165	18953
550550	23259	189551551	23300	189552552	23334	188553553	23368	185554554	23396	18555	555	23431	18556	556	23478	18557	557	23518	185558558	23550	18559	559	23585	185560560	23621	18561	561	23659	18562	23649	18356
563	563	23729	18564	564	23765	18565	565	23807	18566	23803	18177
567	23839	18131
568	23871	18081
569	23904	18033
570	570	23980	18571	571	24017	17572	572	24063	17573	24061	17857
574	24094	17809
575	24124	17758
576	24155	17708
577	24197	17667
578	24239	17624
579	24272	17576
558580	24344	175581581	24386	175582582	24431	174583583	24467	174584584	24502	173585585	24535	173586586	24570	172587587	24602	172588588	24655	172589589	24694	171590590	24727	171559591	24764	170559592	24800	170559593	24844	1695594	24855	169185595	24891	16872559596	24956	168559597	24992	168559598	25040	167659599	25116	167660600	25148	166660601	25203	166660602	25235	166160603	25275	1657606604	25331	165386605	25363	164606606	25399	166666607	25437	164606608	25484	163626609	25527	166106610	25562	166116611	25593	166126612	25628	166136613	25664	16614614	25700	1606156615	25743	16661616	25773	159661617	25807	159661618	25845	159661619	25905	158762620	25942	158662621	25983	157662622	26014	157662623	26054	156662624	26097	156662625	26133	156626626	26173	155627627	26205	155628628	26235	154629629	26272	154663630	26306	153631631	26353	153663632	26390	153663633	26426	152663634	26463	152163635	26509	151763636	26546	151263637	26585	150863638	26621	150363639	26659	149964640	26700	149564641	26735	149064642	26771	148664643	26803	148164644	26839	147764645	26883	147364646	26924	146864647	26963	14646
648	26995	146064649	27027	145565650	27067	145165651	27118	144765652	27158	144365653	27192	143865654	27235	143465655	27276	14303
656	27323	14264
657	27371	14226
658	27407	14181
659	27440	14136
660	27478	14092
661	27525	14053
662	27564	14011
663	27591	13962
664	27639	13923
665	27680	13881
666	27723	13841
667	27763	13798
668	27799	13754
669	27836	13710
670	27875	13667
671	27914	13625
672	27955	13583
673	27990	13538
674	28021	13491
675	28054	13446
676	28108	13410
677	28153	13370
678	28192	13327
679	28225	13282
680	28262	13238
681	28301	13196
682	28347	13156
683	28382	13112
684	28421	13069
685	28456	13025
686	28489	12980
687	28527	12936
688	28567	12894
689	28611	12854
690	28646	12809
691	28690	12769
692	28729	12727
693	28775	12687
694	28808	12642
695	28845	12599
696	28878	12554
697	28922	12513
698	28963	12472
699	29001	12429
700	29039	12386
701	29076	12343
702	29129	12306
703	29178	12268
704	29212	12223
705	29249	12180
706	29284	12136
707	29320	12092
708	29366	12052
709	29405	12010
710	29436	11964
711	29468	11919
712	29508	11877
713	29540	11832
714	29587	11793
715	29625	11750
716	29657	11705
717	29691	11661
718	29727	11618
719	29767	11576
720	29805	11533
721	29853	11494
722	29891	11452
723	29923	11407
724	29959	11363
725	30008	11325
726	30043	11281
727	30080	11238
728	30118	11196
729	30152	11152
730	30195	11111
731	30228	11067
732	30267	11025
733	30305	10982
734	30358	10945
735	30402	10905
736	30437	10861
737	30479	10820
738	30513	10776
739	30574	10742
740	30610	10699
741	30647	10656
742	30688	10614
743	30720	10570
744	30764	10530
745	30805	10488
746	30838	10444
747	30873	10401
748	30910	10358
749	30944	10314
750	30986	10273
751	31030	10233
752	31065	10190
753	31098	10146
754	31134	10103
755	31184	10064
756	31219	10021
757	31260	9980
758	31297	9937
759	31338	9896
760	31384	9856
761	31424	9814
762	31459	9771
763	31494	9728
764	31534	9686
765	31585	9648
766	31623	9606
767	31660	9564
768	31700	9522
769	31737	9479
770	31780	9439
771	31820	9397
772	31854	9354
773	31886	9310
774	31926	9268
775	31963	9226
776	32009	9186
777	32044	9143
778	32079	9100
779	32107	9055
780	32145	9013
781	32194	8975
782	32224	8930
783	32259	8887
784	32298	8845
785	32334	8803
786	32391	8766
787	32431	8725
788	32465	8682
789	32500	8639
790	32538	8597
791	32578	8556
792	32622	8515
793	32659	8473
794	32689	8429
795	32727	8387
796	32757	8343
797	32796	8301
798	32842	8261
799	32881	8220
800	32920	8178
801	32957	8136
802	33005	8097
803	33043	8055
804	33078	8012
805	33113	7970
806	33145	7927
807	33190	7886
808	33228	7845
809	33264	7802
810	33300	7760
811	33344	7720
812	33400	7682
813	33440	7641
814	33472	7598
815	33507	7555
816	33537	7512
817	33576	7470
818	33622	7430
819	33657	7388
820	33686	7344
821	33721	7302
822	33760	7260
823	33799	7219
824	33845	7179
825	33885	7138
826	33923	7096
827	33966	7055
828	34001	7013
829	34041	6972
830	34077	6930
831	34114	6888
832	34149	6846
833	34186	6804
834	34233	6764
835	34269	6722
836	34309	6681
837	34348	6640
838	34403	6601
839	34447	6561
840	34489	6520
841	34532	6479
842	34568	6438
843	34611	6397
844	34658	6357
845	34690	6314
846	34734	6274
847	34785	6235
848	34832	6195
849	34868	6153
850	34904	6111
851	34942	6069
852	35016	6034
853	35060	5993
854	35110	5954
855	35163	5915
856	35215	5876
857	35281	5839
858	35324	5798
859	35381	5759
860	35429	5719
861	35472	5678
862	35516	5638
863	35553	5596
864	35602	5556
865	35647	5515
866	35688	5474
867	35719	5432
868	35759	5390
869	35795	5348
870	35848	5309
871	35885	5267
872	35920	5225
873	35958	5183
874	35988	5141
875	36038	5101
876	36086	5061
877	36118	5018
878	36150	4976
879	36185	4934
880	36219	4892
881	36266	4851
882	36302	4810
883	36339	4768
884	36378	4727
885	36415	4685
886	36460	4644
887	36498	4603
888	36530	4561
889	36564	4519
890	36611	4478
891	36640	4436
892	36675	4394
893	36707	4352
894	36747	4311
895	36780	4269
896	36812	4227
897	36864	4187
898	36897	4145
899	36938	4104
900	36983	4063
901	37038	4024
902	37078	3983
903	37116	3941
904	37157	3900
905	37194	3859
906	37242	3818
907	37290	3778
908	37326	3736
909	37363	3695
910	37407	3654
911	37450	3613
912	37493	3572
913	37526	3530
914	37563	3489
915	37598	3447
916	37644	3407
917	37684	3366
918	37718	3324
919	37754	3283
920	37789	3241
921	37830	3200
922	37875	3159
923	37917	3118
924	37956	3077
925	37996	3036
926	38050	2996
927	38096	2955
928	38141	2915
929	38181	2873
930	38220	2832
931	38264	2791
932	38303	2750
933	38339	2709
934	38370	2667
935	38406	2626
936	38470	2586
937	38512	2545
938	38546	2504
939	38581	2462
940	38620	2421
941	38657	2380
942	38701	2339
943	38742	2298
944	38784	2257
945	38823	2216
946	38862	2174
947	38904	2133
948	38943	2092
949	38983	2051
950	39019	2010
951	39059	1969
952	39099	1928
953	39130	1886
954	39162	1845
955	39198	1804
956	39231	1762
957	39269	1721
958	39313	1680
959	39349	1639
960	39423	1599
961	39477	1559
962	39520	1518
