Provinsi;Jenis Kelamin;2022;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010
JAWA BARAT;Laki-laki;71.77;71.57;71.3;71.03;70.76;70.58;70.57;70.54;70.35;70.22;69.95;69.68;69.4
JAWA TENGAH;Laki-laki;72.71;72.61;72.51;72.33;72.28;72.16;72.1;72.05;71.97;71.37;71.18;70.99;70.8
DI YOGYAKARTA;Laki-laki;73.28;73.27;73.22;73.13;73.03;72.95;72.92;72.9;72.72;72.67;72.57;72.47;72.36
JAWA TIMUR;Laki-laki;69.81;69.51;69.42;69.3;68.99;68.82;68.8;68.79;68.56;68.45;68.25;68.13;68
BANTEN;Laki-laki;68.46;68.15;68.08;67.97;67.72;67.57;67.54;67.53;67.24;67.15;66.97;66.78;66.6
BALI;Laki-laki;70.69;70.39;70.28;70.11;69.8;69.58;69.55;69.49;69.33;69.24;69.06;68.89;68.73
NUSA TENGGARA BARAT;Laki-laki;65.14;64.81;64.63;64.32;63.88;63.57;63.55;63.52;63.04;62.88;62.56;62.27;61.95
NUSA TENGGARA TIMUR;Laki-laki;65.54;65.28;65.15;64.98;64.51;64.2;64.17;64.09;64.04;63.95;63.77;63.59;63.42
KALIMANTAN BARAT;Laki-laki;69.08;68.87;68.8;68.67;68.26;68;67.99;67.97;67.86;67.76;67.56;67.35;67.15
KALIMANTAN TENGAH;Laki-laki;68.08;67.89;67.84;67.79;67.74;67.69;67.68;67.67;67.52;67.41;67.35;67.25;67.16
KALIMANTAN SELATAN;Laki-laki;67.23;66.97;66.76;66.55;66.16;65.98;65.92;65.9;65.57;65.46;65.23;64.99;64.76
KALIMANTAN TIMUR;Laki-laki;72.8;72.79;72.54;72.41;72.13;71.87;71.85;71.82;71.79;71.68;71.46;71.25;71.03
KALIMANTAN UTARA;Laki-laki;70.7;70.69;70.63;70.57;70.52;70.5;70.49;70.47;70.17;70.06;70.05;70.04;70.03
SULAWESI UTARA;Laki-laki;70.16;69.89;69.82;69.71;69.33;69.11;69.09;69.08;69.03;68.95;68.8;68.65;68.51
SULAWESI TENGAH;Laki-laki;66.98;66.91;66.77;66.32;65.86;65.4;65.39;65.34;65.27;65.11;64.8;64.48;64.17
SULAWESI SELATAN;Laki-laki;69.03;68.77;68.68;68.54;68.2;67.96;67.94;67.89;67.69;67.59;67.4;67.2;67.01
SULAWESI TENGGARA;Laki-laki;69.44;69.35;69.31;69.2;68.83;68.57;68.54;68.5;68.45;68.35;68.14;67.93;67.72
GORONTALO;Laki-laki;66.56;66.27;66.14;66.01;65.51;65.22;65.21;65.2;65.08;65;64.84;64.68;64.51
SULAWESI BARAT;Laki-laki;63.74;63.39;63.2;62.96;62.76;62.52;62.49;62.36;62.18;61.46;61.18;60.92;60.64
MALUKU;Laki-laki;64.53;64.23;64.12;63.95;63.68;63.49;63.44;63.41;63.11;63.04;62.9;62.74;62.59
MALUKU UTARA;Laki-laki;66.84;66.55;66.43;66.25;65.82;65.56;65.53;65.5;65.41;65.31;65.12;64.97;64.8
PAPUA BARAT;Laki-laki;64.54;64.33;64.2;64.01;63.57;63.34;63.32;63.31;63.26;63.17;63;62.88;62.7
PAPUA;Laki-laki;64.34;64.15;64.02;63.87;63.67;63.45;63.44;63.3;63.05;62.97;62.81;62.66;62.51
INDONESIA;Laki-laki;69.93;69.67;69.59;69.44;69.3;69.16;69.09;68.93;68.87;68.49;68.29;68.09;67.89
