mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_boosting_type,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_min_child_weight,param_min_split_gain,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_scale_pos_weight,param_subsample,param_subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.2934390068054199,0.007068708722928912,0.0,0.0,goss,0.8982714934301164,0.10171739493308189,20,21,1.5701864044243652,0.15599452033620265,380,468,8.661761457749352,6.011150117432088,1.5621088666940683,0.5102922471479012,2,"{'boosting_type': 'goss', 'colsample_bytree': 0.8982714934301164, 'learning_rate': 0.10171739493308189, 'max_depth': 20, 'min_child_samples': 21, 'min_child_weight': 1.5701864044243652, 'min_split_gain': 0.15599452033620265, 'n_estimators': 380, 'num_leaves': 468, 'reg_alpha': 8.661761457749352, 'reg_lambda': 6.011150117432088, 'scale_pos_weight': 1.5621088666940683, 'subsample': 0.5102922471479012, 'subsample_freq': 2}",,,,,,,,180
107.35397257804871,2.372651957271288,0.8700321197509766,0.05329386852301433,dart,0.6061695553391381,0.1009124836035503,20,161,3.052422429595377,0.5247564316322378,797,866,2.9122914019804194,6.118528947223795,0.7092407909780627,0.6460723242676091,3,"{'boosting_type': 'dart', 'colsample_bytree': 0.6061695553391381, 'learning_rate': 0.1009124836035503, 'max_depth': 20, 'min_child_samples': 161, 'min_child_weight': 3.052422429595377, 'min_split_gain': 0.5247564316322378, 'n_estimators': 797, 'num_leaves': 866, 'reg_alpha': 2.9122914019804194, 'reg_lambda': 6.118528947223795, 'scale_pos_weight': 0.7092407909780627, 'subsample': 0.6460723242676091, 'subsample_freq': 3}",0.6857315476789849,0.9490455212922173,0.9074088716691706,0.7020400156924284,0.5946528676153514,0.7677757647896305,0.13666024217454414,173
0.334580135345459,0.049081152923026165,0.0,0.0,goss,0.9916154429033941,0.24338144662398997,20,51,6.813075385877797,0.450499251969543,323,397,9.422017556848527,5.632882178455393,1.0781247538098742,0.5079831261101071,2,"{'boosting_type': 'goss', 'colsample_bytree': 0.9916154429033941, 'learning_rate': 0.24338144662398997, 'max_depth': 20, 'min_child_samples': 51, 'min_child_weight': 6.813075385877797, 'min_split_gain': 0.450499251969543, 'n_estimators': 323, 'num_leaves': 397, 'reg_alpha': 9.422017556848527, 'reg_lambda': 5.632882178455393, 'scale_pos_weight': 1.0781247538098742, 'subsample': 0.5079831261101071, 'subsample_freq': 2}",,,,,,,,180
0.2720451831817627,0.028663939935381938,0.0,0.0,goss,0.8416317594127292,0.31499832889131046,10,81,2.597799816000169,0.662522284353982,51,399,2.079416628681888,5.677003278199915,0.5469699386833379,0.9211423872974993,2,"{'boosting_type': 'goss', 'colsample_bytree': 0.8416317594127292, 'learning_rate': 0.31499832889131046, 'max_depth': 10, 'min_child_samples': 81, 'min_child_weight': 2.597799816000169, 'min_split_gain': 0.662522284353982, 'n_estimators': 51, 'num_leaves': 399, 'reg_alpha': 2.079416628681888, 'reg_lambda': 5.677003278199915, 'scale_pos_weight': 0.5469699386833379, 'subsample': 0.9211423872974993, 'subsample_freq': 2}",,,,,,,,180
24.887410402297974,1.9416785093103732,0.32802233695983884,0.02617778904462492,dart,0.9474136752138245,0.3089499894055426,25,190,3.2633033076326434,0.388677289689482,387,888,8.287375091519294,3.567533266935893,0.9214017645310711,0.7713480415791243,9,"{'boosting_type': 'dart', 'colsample_bytree': 0.9474136752138245, 'learning_rate': 0.3089499894055426, 'max_depth': 25, 'min_child_samples': 190, 'min_child_weight': 3.2633033076326434, 'min_split_gain': 0.388677289689482, 'n_estimators': 387, 'num_leaves': 888, 'reg_alpha': 8.287375091519294, 'reg_lambda': 3.567533266935893, 'scale_pos_weight': 0.9214017645310711, 'subsample': 0.7713480415791243, 'subsample_freq': 9}",0.4745563520977788,0.9514490588586795,0.9420745397395599,0.8698746461787303,0.7494083120325665,0.797472581781463,0.17688731220018716,165
2.500414991378784,0.2095928467221735,0.2110154151916504,0.015320083963824064,gbdt,0.9010984903770198,0.04727532183988541,-1,88,3.958815181755697,0.2934881747180381,112,148,1.9884240408880516,7.113419527486499,1.6852633107968085,0.8029799873905057,7,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9010984903770198, 'learning_rate': 0.04727532183988541, 'max_depth': -1, 'min_child_samples': 88, 'min_child_weight': 3.958815181755697, 'min_split_gain': 0.2934881747180381, 'n_estimators': 112, 'num_leaves': 148, 'reg_alpha': 1.9884240408880516, 'reg_lambda': 7.113419527486499, 'scale_pos_weight': 1.6852633107968085, 'subsample': 0.8029799873905057, 'subsample_freq': 7}",0.7753771652076736,0.9484777517564402,0.947391527035926,0.8947204485282666,0.942133950571194,0.9016201686199,0.06620712790104306,12
55.29788436889648,2.346871083462233,0.5899930000305176,0.013883875575060023,dart,0.5579345297625649,0.44155171293779677,15,162,0.9641011649041131,0.37081825219826636,623,737,6.659223566174966,5.912977877077271,0.9120826894850962,0.7806217129238506,3,"{'boosting_type': 'dart', 'colsample_bytree': 0.5579345297625649, 'learning_rate': 0.44155171293779677, 'max_depth': 15, 'min_child_samples': 162, 'min_child_weight': 0.9641011649041131, 'min_split_gain': 0.37081825219826636, 'n_estimators': 623, 'num_leaves': 737, 'reg_alpha': 6.659223566174966, 'reg_lambda': 5.912977877077271, 'scale_pos_weight': 0.9120826894850962, 'subsample': 0.7806217129238506, 'subsample_freq': 3}",0.34561918122688434,0.9501254242290099,0.8884578079534433,0.8643019850309144,0.9156796611498942,0.7928368119180293,0.22542596488513794,167
1.0350522518157959,0.07496348264010473,0.08406238555908203,0.007634471938879205,gbdt,0.9858560476945519,0.43445691213304194,20,142,4.947955963643907,0.5227328293819941,64,867,0.2541912674409519,1.0789142699330445,0.5471437785301014,0.8182052056318903,4,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9858560476945519, 'learning_rate': 0.43445691213304194, 'max_depth': 20, 'min_child_samples': 142, 'min_child_weight': 4.947955963643907, 'min_split_gain': 0.5227328293819941, 'n_estimators': 64, 'num_leaves': 867, 'reg_alpha': 0.2541912674409519, 'reg_lambda': 1.0789142699330445, 'scale_pos_weight': 0.5471437785301014, 'subsample': 0.8182052056318903, 'subsample_freq': 4}",0.662236761398487,0.9485587583148558,0.9449296817172465,0.8565092402464065,0.8764063398209739,0.8577281562995941,0.10432789662789528,134
1.368333625793457,0.051960625660512745,0.10789361000061035,0.018681063259142067,gbdt,0.7542853455823514,0.4637832369630465,20,143,7.5655113854304865,0.22879816549162246,209,848,2.8975145291376805,1.6122128725400442,1.8945464785138597,0.9040601897822085,9,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.7542853455823514, 'learning_rate': 0.4637832369630465, 'max_depth': 20, 'min_child_samples': 143, 'min_child_weight': 7.5655113854304865, 'min_split_gain': 0.22879816549162246, 'n_estimators': 209, 'num_leaves': 848, 'reg_alpha': 2.8975145291376805, 'reg_lambda': 1.6122128725400442, 'scale_pos_weight': 1.8945464785138597, 'subsample': 0.9040601897822085, 'subsample_freq': 9}",0.7023703262917782,0.9480481361901967,0.9468974622267861,0.8674485861182518,0.911801436153606,0.8753131893961237,0.09134238735298411,88
1.4692065715789795,0.07228483558836227,0.04467759132385254,0.004399135603287713,gbdt,0.9357302950938589,0.41183603844955724,15,84,8.935589984899778,0.5393422419156507,555,357,3.5629783807697493,9.06828441545754,0.908198374076953,0.8238450602706812,9,"{'boosting_type': 'gbdt', 'colsample_bytree': 0.9357302950938589, 'learning_rate': 0.41183603844955724, 'max_depth': 15, 'min_child_samples': 84, 'min_child_weight': 8.935589984899778, 'min_split_gain': 0.5393422419156507, 'n_estimators': 555, 'num_leaves': 357, 'reg_alpha': 3.5629783807697493, 'reg_lambda': 9.06828441545754, 'scale_pos_weight': 0.908198374076953, 'subsample': 0.8238450602706812, 'subsample_freq': 9}",0.7053006329113923,0.9501617171420171,0.9465727286070746,0.8729941133779534,0.9077891424075532,0.8765636668891983,0.09015180593258684,83
