iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_xgbclassifier__colsample_bytree,param_xgbclassifier__gamma,param_xgbclassifier__learning_rate,param_xgbclassifier__max_depth,param_xgbclassifier__min_child_weight,param_xgbclassifier__n_estimators,param_xgbclassifier__reg_alpha,param_xgbclassifier__reg_lambda,param_xgbclassifier__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,0.05105824470520019,0.001727049679003972,0.007361841201782226,0.0004518533266194293,0.9684995091420571,3.0427755966144243,0.025256597136366094,10,2,109,5.8486333682097336e-05,1.2698952974571693e-05,0.5835307059230563,"{'xgbclassifier__colsample_bytree': 0.9684995091420571, 'xgbclassifier__gamma': 3.0427755966144243, 'xgbclassifier__learning_rate': 0.025256597136366094, 'xgbclassifier__max_depth': 10, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__n_estimators': 109, 'xgbclassifier__reg_alpha': 5.8486333682097336e-05, 'xgbclassifier__reg_lambda': 1.2698952974571693e-05, 'xgbclassifier__subsample': 0.5835307059230563}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.045555734634399415,0.0016550186854029478,0.007045650482177734,0.00037661957758525585,0.5734946446548579,2.653596320674408,0.059655485671631314,5,1,90,0.0014870000325882882,0.04988565706723357,0.911622882248576,"{'xgbclassifier__colsample_bytree': 0.5734946446548579, 'xgbclassifier__gamma': 2.653596320674408, 'xgbclassifier__learning_rate': 0.059655485671631314, 'xgbclassifier__max_depth': 5, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 90, 'xgbclassifier__reg_alpha': 0.0014870000325882882, 'xgbclassifier__reg_lambda': 0.04988565706723357, 'xgbclassifier__subsample': 0.911622882248576}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.08429183959960937,0.00522453947355079,0.008111000061035156,0.001985039184962523,0.5206308559392347,1.54741053228876,0.01603089263836996,11,1,207,0.0002625733460112519,1.0062555648214171e-05,0.6949043921768076,"{'xgbclassifier__colsample_bytree': 0.5206308559392347, 'xgbclassifier__gamma': 1.54741053228876, 'xgbclassifier__learning_rate': 0.01603089263836996, 'xgbclassifier__max_depth': 11, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 207, 'xgbclassifier__reg_alpha': 0.0002625733460112519, 'xgbclassifier__reg_lambda': 1.0062555648214171e-05, 'xgbclassifier__subsample': 0.6949043921768076}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.09562892913818359,0.004335616292083587,0.005955791473388672,0.0009000931913506625,0.5058358204124436,0.8435386432743364,0.2701026758166141,3,1,391,0.0038988979127420114,1.0429033923633416e-05,0.8179788784354964,"{'xgbclassifier__colsample_bytree': 0.5058358204124436, 'xgbclassifier__gamma': 0.8435386432743364, 'xgbclassifier__learning_rate': 0.2701026758166141, 'xgbclassifier__max_depth': 3, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 391, 'xgbclassifier__reg_alpha': 0.0038988979127420114, 'xgbclassifier__reg_lambda': 1.0429033923633416e-05, 'xgbclassifier__subsample': 0.8179788784354964}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.10526437759399414,0.00441698859247562,0.009002351760864257,0.0036224547267858565,0.69701011472537,2.29626152338248,0.011551405271572932,7,1,470,0.0002037892883634828,0.001051146063510628,0.6752115780624691,"{'xgbclassifier__colsample_bytree': 0.69701011472537, 'xgbclassifier__gamma': 2.29626152338248, 'xgbclassifier__learning_rate': 0.011551405271572932, 'xgbclassifier__max_depth': 7, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 470, 'xgbclassifier__reg_alpha': 0.0002037892883634828, 'xgbclassifier__reg_lambda': 0.001051146063510628, 'xgbclassifier__subsample': 0.6752115780624691}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.1044471263885498,0.004124690681229485,0.01069955825805664,0.0035749356208385416,0.7209330346561775,2.727559129051416,0.011483931552113406,4,1,430,0.009567535591923191,7.063205664280557e-05,0.5358715938075116,"{'xgbclassifier__colsample_bytree': 0.7209330346561775, 'xgbclassifier__gamma': 2.727559129051416, 'xgbclassifier__learning_rate': 0.011483931552113406, 'xgbclassifier__max_depth': 4, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 430, 'xgbclassifier__reg_alpha': 0.009567535591923191, 'xgbclassifier__reg_lambda': 7.063205664280557e-05, 'xgbclassifier__subsample': 0.5358715938075116}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.11997833251953124,0.008699711108252997,0.01003561019897461,0.0011603575071310942,0.6076087735595328,2.2148136816732498,0.4062499555159463,4,2,402,0.015799721126366694,1.1553519774472558e-05,0.5374755288411832,"{'xgbclassifier__colsample_bytree': 0.6076087735595328, 'xgbclassifier__gamma': 2.2148136816732498, 'xgbclassifier__learning_rate': 0.4062499555159463, 'xgbclassifier__max_depth': 4, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__n_estimators': 402, 'xgbclassifier__reg_alpha': 0.015799721126366694, 'xgbclassifier__reg_lambda': 1.1553519774472558e-05, 'xgbclassifier__subsample': 0.5374755288411832}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,0.9655172413793104,0.9655172413793104,0.9862068965517242,0.01689303270884948
0,20,0.045016241073608396,0.005605041695755147,0.008870172500610351,0.0016348520582469142,0.6265584493505676,2.5104512564962818,0.011159831481947623,9,2,97,6.664359582237686e-05,0.002055570698296318,0.6359085293781124,"{'xgbclassifier__colsample_bytree': 0.6265584493505676, 'xgbclassifier__gamma': 2.5104512564962818, 'xgbclassifier__learning_rate': 0.011159831481947623, 'xgbclassifier__max_depth': 9, 'xgbclassifier__min_child_weight': 2, 'xgbclassifier__n_estimators': 97, 'xgbclassifier__reg_alpha': 6.664359582237686e-05, 'xgbclassifier__reg_lambda': 0.002055570698296318, 'xgbclassifier__subsample': 0.6359085293781124}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.11621408462524414,0.009450985106844462,0.007354831695556641,0.0006144870525942194,0.9693621987547465,1.1259626847495423,0.04566678844948973,11,1,427,1.602889017754448e-05,1.4885859939164335e-05,0.8242570665913145,"{'xgbclassifier__colsample_bytree': 0.9693621987547465, 'xgbclassifier__gamma': 1.1259626847495423, 'xgbclassifier__learning_rate': 0.04566678844948973, 'xgbclassifier__max_depth': 11, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 427, 'xgbclassifier__reg_alpha': 1.602889017754448e-05, 'xgbclassifier__reg_lambda': 1.4885859939164335e-05, 'xgbclassifier__subsample': 0.8242570665913145}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.08028550148010254,0.005952788213443285,0.008638811111450196,0.0009733240019835724,0.8515638281277296,3.254985105545571,0.019016443656870826,9,1,267,0.014103093591740883,0.005261538074054884,0.8721075719615456,"{'xgbclassifier__colsample_bytree': 0.8515638281277296, 'xgbclassifier__gamma': 3.254985105545571, 'xgbclassifier__learning_rate': 0.019016443656870826, 'xgbclassifier__max_depth': 9, 'xgbclassifier__min_child_weight': 1, 'xgbclassifier__n_estimators': 267, 'xgbclassifier__reg_alpha': 0.014103093591740883, 'xgbclassifier__reg_lambda': 0.005261538074054884, 'xgbclassifier__subsample': 0.8721075719615456}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,457,1.0,1.0,1.0,1.0,1.0,1.0,0.0
