mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lgbmclassifier__boosting_type,param_lgbmclassifier__colsample_bytree,param_lgbmclassifier__learning_rate,param_lgbmclassifier__max_depth,param_lgbmclassifier__min_child_samples,param_lgbmclassifier__min_child_weight,param_lgbmclassifier__min_split_gain,param_lgbmclassifier__n_estimators,param_lgbmclassifier__num_leaves,param_lgbmclassifier__reg_alpha,param_lgbmclassifier__reg_lambda,param_lgbmclassifier__scale_pos_weight,param_lgbmclassifier__subsample,param_lgbmclassifier__subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
29.25912117958069,0.3022518880978393,0.22953621546427408,0.011640726768780788,dart,0.6861621313115772,0.14292022182281078,5,121,1.8571191185416964,0.10658492290797528,152,624,4.124844664107485,1.941202812112309,1.1772271491295014,0.9109086439095277,5,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.6861621313115772, 'lgbmclassifier__learning_rate': 0.14292022182281078, 'lgbmclassifier__max_depth': 5, 'lgbmclassifier__min_child_samples': 121, 'lgbmclassifier__min_child_weight': 1.8571191185416964, 'lgbmclassifier__min_split_gain': 0.10658492290797528, 'lgbmclassifier__n_estimators': 152, 'lgbmclassifier__num_leaves': 624, 'lgbmclassifier__reg_alpha': 4.124844664107485, 'lgbmclassifier__reg_lambda': 1.941202812112309, 'lgbmclassifier__scale_pos_weight': 1.1772271491295014, 'lgbmclassifier__subsample': 0.9109086439095277, 'lgbmclassifier__subsample_freq': 5}",0.4286762906777587,0.37155297532656023,0.3107152954481199,0.3703148538174796,0.04816533198297405,21
24.79307158788045,0.12322234672629112,0.14406577746073404,0.0073958810822256,gbdt,0.9544686413636803,0.20332197415874728,10,93,1.529625158080547,0.0964308160637446,69,80,1.8444551318768476,2.5544438224473014,0.7970344656083123,0.6451469627909315,9,"{'lgbmclassifier__boosting_type': 'gbdt', 'lgbmclassifier__colsample_bytree': 0.9544686413636803, 'lgbmclassifier__learning_rate': 0.20332197415874728, 'lgbmclassifier__max_depth': 10, 'lgbmclassifier__min_child_samples': 93, 'lgbmclassifier__min_child_weight': 1.529625158080547, 'lgbmclassifier__min_split_gain': 0.0964308160637446, 'lgbmclassifier__n_estimators': 69, 'lgbmclassifier__num_leaves': 80, 'lgbmclassifier__reg_alpha': 1.8444551318768476, 'lgbmclassifier__reg_lambda': 2.5544438224473014, 'lgbmclassifier__scale_pos_weight': 0.7970344656083123, 'lgbmclassifier__subsample': 0.6451469627909315, 'lgbmclassifier__subsample_freq': 9}",0.43199098845395667,0.24559859154929575,0.28862350722815844,0.32207102907713697,0.07968514685663229,142
29.882829666137695,0.3545011440950574,0.2715883255004883,0.014512136766708978,dart,0.6951920837598727,0.04079355179695908,25,208,7.6723965251058175,0.6921164015028354,150,511,5.179091532037766,5.1256504806274705,1.6195035908664512,0.5771605887764031,2,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.6951920837598727, 'lgbmclassifier__learning_rate': 0.04079355179695908, 'lgbmclassifier__max_depth': 25, 'lgbmclassifier__min_child_samples': 208, 'lgbmclassifier__min_child_weight': 7.6723965251058175, 'lgbmclassifier__min_split_gain': 0.6921164015028354, 'lgbmclassifier__n_estimators': 150, 'lgbmclassifier__num_leaves': 511, 'lgbmclassifier__reg_alpha': 5.179091532037766, 'lgbmclassifier__reg_lambda': 5.1256504806274705, 'lgbmclassifier__scale_pos_weight': 1.6195035908664512, 'lgbmclassifier__subsample': 0.5771605887764031, 'lgbmclassifier__subsample_freq': 2}",0.4190721649484536,0.4212076583210604,0.3033970568009902,0.3812256266901681,0.055040014542343606,9
35.052029053370156,0.21911930797360687,0.3900011380513509,0.017912920508418195,dart,0.7959519809601887,0.11007141912182512,5,161,7.529828011604219,0.5782735148615787,223,419,7.649984132148043,6.975749485888052,1.8550922447313942,0.9215633904148106,2,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.7959519809601887, 'lgbmclassifier__learning_rate': 0.11007141912182512, 'lgbmclassifier__max_depth': 5, 'lgbmclassifier__min_child_samples': 161, 'lgbmclassifier__min_child_weight': 7.529828011604219, 'lgbmclassifier__min_split_gain': 0.5782735148615787, 'lgbmclassifier__n_estimators': 223, 'lgbmclassifier__num_leaves': 419, 'lgbmclassifier__reg_alpha': 7.649984132148043, 'lgbmclassifier__reg_lambda': 6.975749485888052, 'lgbmclassifier__scale_pos_weight': 1.8550922447313942, 'lgbmclassifier__subsample': 0.9215633904148106, 'lgbmclassifier__subsample_freq': 2}",0.41577228184787673,0.34644808743169403,0.2984084880636605,0.3535429524477438,0.04817549761066638,30
26.025436401367188,0.22117142771372525,0.20711922645568848,0.0035544172362981723,gbdt,0.6027896879062057,0.23531620540790357,15,136,2.9369579240715895,0.44296273633465,111,65,4.536414333505556,1.8219368422378404,1.509986232069696,0.4841398814778748,8,"{'lgbmclassifier__boosting_type': 'gbdt', 'lgbmclassifier__colsample_bytree': 0.6027896879062057, 'lgbmclassifier__learning_rate': 0.23531620540790357, 'lgbmclassifier__max_depth': 15, 'lgbmclassifier__min_child_samples': 136, 'lgbmclassifier__min_child_weight': 2.9369579240715895, 'lgbmclassifier__min_split_gain': 0.44296273633465, 'lgbmclassifier__n_estimators': 111, 'lgbmclassifier__num_leaves': 65, 'lgbmclassifier__reg_alpha': 4.536414333505556, 'lgbmclassifier__reg_lambda': 1.8219368422378404, 'lgbmclassifier__scale_pos_weight': 1.509986232069696, 'lgbmclassifier__subsample': 0.4841398814778748, 'lgbmclassifier__subsample_freq': 8}",0.4233325129214866,0.23296535972592308,0.28412737595655396,0.3134750828679879,0.08043995350431839,177
71.92600456873576,1.3989756114389869,0.6907767454783121,0.03078359955942815,dart,0.9909473192675308,0.2204331168956942,5,79,9.546708123416437,0.5499695634232242,528,392,2.5763477586493595,3.717648506111834,1.1771260640336425,0.9288994746519195,3,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.9909473192675308, 'lgbmclassifier__learning_rate': 0.2204331168956942, 'lgbmclassifier__max_depth': 5, 'lgbmclassifier__min_child_samples': 79, 'lgbmclassifier__min_child_weight': 9.546708123416437, 'lgbmclassifier__min_split_gain': 0.5499695634232242, 'lgbmclassifier__n_estimators': 528, 'lgbmclassifier__num_leaves': 392, 'lgbmclassifier__reg_alpha': 2.5763477586493595, 'lgbmclassifier__reg_lambda': 3.717648506111834, 'lgbmclassifier__scale_pos_weight': 1.1771260640336425, 'lgbmclassifier__subsample': 0.9288994746519195, 'lgbmclassifier__subsample_freq': 3}",0.4263888888888889,0.22025565388397245,0.29756795422031473,0.31473749899772535,0.08502479087221426,171
28.90386946996053,0.297859245775522,0.2984246412913005,0.038331324167554706,gbdt,0.7658309329417633,0.1536403591504631,15,87,5.773744466044022,0.3885916941954649,530,725,5.761947255502257,6.209506007461639,1.147888734734119,0.7969489455620608,8,"{'lgbmclassifier__boosting_type': 'gbdt', 'lgbmclassifier__colsample_bytree': 0.7658309329417633, 'lgbmclassifier__learning_rate': 0.1536403591504631, 'lgbmclassifier__max_depth': 15, 'lgbmclassifier__min_child_samples': 87, 'lgbmclassifier__min_child_weight': 5.773744466044022, 'lgbmclassifier__min_split_gain': 0.3885916941954649, 'lgbmclassifier__n_estimators': 530, 'lgbmclassifier__num_leaves': 725, 'lgbmclassifier__reg_alpha': 5.761947255502257, 'lgbmclassifier__reg_lambda': 6.209506007461639, 'lgbmclassifier__scale_pos_weight': 1.147888734734119, 'lgbmclassifier__subsample': 0.7969489455620608, 'lgbmclassifier__subsample_freq': 8}",0.4332313965341488,0.23607647547797173,0.29333333333333333,0.320880401781818,0.08281161939102498,148
35.73784136772156,0.14956636107606103,1.0222469170888264,0.009295532818868012,gbdt,0.5130818504862057,0.02934748834157995,-1,20,4.702566653711993,0.4681831316465095,453,58,4.271511267169599,1.0213793859998885,0.9270354318686683,0.940317590896349,7,"{'lgbmclassifier__boosting_type': 'gbdt', 'lgbmclassifier__colsample_bytree': 0.5130818504862057, 'lgbmclassifier__learning_rate': 0.02934748834157995, 'lgbmclassifier__max_depth': -1, 'lgbmclassifier__min_child_samples': 20, 'lgbmclassifier__min_child_weight': 4.702566653711993, 'lgbmclassifier__min_split_gain': 0.4681831316465095, 'lgbmclassifier__n_estimators': 453, 'lgbmclassifier__num_leaves': 58, 'lgbmclassifier__reg_alpha': 4.271511267169599, 'lgbmclassifier__reg_lambda': 1.0213793859998885, 'lgbmclassifier__scale_pos_weight': 0.9270354318686683, 'lgbmclassifier__subsample': 0.940317590896349, 'lgbmclassifier__subsample_freq': 7}",0.4367588932806324,0.23838882038635428,0.279491833030853,0.31821318223261325,0.08548753756356847,155
50.79780499140421,0.6034537589219663,0.5518120129903158,0.05833966913631462,dart,0.8173777860184047,0.13421468914311507,15,160,4.859081024612301,0.7915268728248851,303,638,4.824876420997796,4.239143751515206,0.7098691893694437,0.6078507870523033,5,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.8173777860184047, 'lgbmclassifier__learning_rate': 0.13421468914311507, 'lgbmclassifier__max_depth': 15, 'lgbmclassifier__min_child_samples': 160, 'lgbmclassifier__min_child_weight': 4.859081024612301, 'lgbmclassifier__min_split_gain': 0.7915268728248851, 'lgbmclassifier__n_estimators': 303, 'lgbmclassifier__num_leaves': 638, 'lgbmclassifier__reg_alpha': 4.824876420997796, 'lgbmclassifier__reg_lambda': 4.239143751515206, 'lgbmclassifier__scale_pos_weight': 0.7098691893694437, 'lgbmclassifier__subsample': 0.6078507870523033, 'lgbmclassifier__subsample_freq': 5}",0.43726124008228034,0.27189409368635437,0.3145519713261649,0.3412357683649332,0.07009798877327622,53
77.29366834958394,1.4235209666173472,1.0621827443440754,0.029574517529924186,dart,0.6910801114951319,0.0695778842686788,-1,161,8.090445909741721,0.5211307935038008,420,448,1.3668183808339487,6.137573803876393,0.5489502088824573,0.827221187744138,6,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.6910801114951319, 'lgbmclassifier__learning_rate': 0.0695778842686788, 'lgbmclassifier__max_depth': -1, 'lgbmclassifier__min_child_samples': 161, 'lgbmclassifier__min_child_weight': 8.090445909741721, 'lgbmclassifier__min_split_gain': 0.5211307935038008, 'lgbmclassifier__n_estimators': 420, 'lgbmclassifier__num_leaves': 448, 'lgbmclassifier__reg_alpha': 1.3668183808339487, 'lgbmclassifier__reg_lambda': 6.137573803876393, 'lgbmclassifier__scale_pos_weight': 0.5489502088824573, 'lgbmclassifier__subsample': 0.827221187744138, 'lgbmclassifier__subsample_freq': 6}",0.4466145833333333,0.25884732052578363,0.31904551480335835,0.3415024728874918,0.0782831291758927,48
