iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__coef0,param_svc__degree,param_svc__gamma,param_svc__kernel,param_svc__probability,param_svc__shrinking,param_svc__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,0.019850397109985353,0.0012575174325420676,0.006754350662231445,0.0007961030544207795,3133.2290628808055,-0.39144488067711514,2,auto,sigmoid,False,True,2.0881167096352243e-05,"{'svc__C': 3133.2290628808055, 'svc__coef0': -0.39144488067711514, 'svc__degree': 2, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid', 'svc__probability': False, 'svc__shrinking': True, 'svc__tol': 2.0881167096352243e-05}",1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9428571428571428,0.06998542122237654,343,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.019208478927612304,0.0023843267942694857,0.0,0.0,10.612741553089256,-0.5535936194132164,2,<class 'float'>,linear,True,False,0.00023422035037382643,"{'svc__C': 10.612741553089256, 'svc__coef0': -0.5535936194132164, 'svc__degree': 2, 'svc__gamma': <class 'float'>, 'svc__kernel': 'linear', 'svc__probability': True, 'svc__shrinking': False, 'svc__tol': 0.00023422035037382643}",,,,,,,,1652,,,,,,,
0,20,0.01860194206237793,0.0009816185119106897,0.0,0.0,483.84295014238484,-0.017840007737226493,3,<class 'float'>,sigmoid,False,False,1.9466705026722295e-05,"{'svc__C': 483.84295014238484, 'svc__coef0': -0.017840007737226493, 'svc__degree': 3, 'svc__gamma': <class 'float'>, 'svc__kernel': 'sigmoid', 'svc__probability': False, 'svc__shrinking': False, 'svc__tol': 1.9466705026722295e-05}",,,,,,,,1652,,,,,,,
0,20,0.017505550384521486,0.002049951363477666,0.0,0.0,0.005939505160714538,-0.8145864000869063,4,<class 'float'>,linear,True,False,0.00011599465535661163,"{'svc__C': 0.005939505160714538, 'svc__coef0': -0.8145864000869063, 'svc__degree': 4, 'svc__gamma': <class 'float'>, 'svc__kernel': 'linear', 'svc__probability': True, 'svc__shrinking': False, 'svc__tol': 0.00011599465535661163}",,,,,,,,1652,,,,,,,
0,20,0.017546415328979492,0.0008142067991290657,0.006095695495605469,0.00036713387620766866,0.00010125502617340693,-0.6101912156463849,4,auto,rbf,True,True,0.0011922002388686805,"{'svc__C': 0.00010125502617340693, 'svc__coef0': -0.6101912156463849, 'svc__degree': 4, 'svc__gamma': 'auto', 'svc__kernel': 'rbf', 'svc__probability': True, 'svc__shrinking': True, 'svc__tol': 0.0011922002388686805}",1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9428571428571428,0.06998542122237654,343,1.0,0.9600000000000001,0.9600000000000001,1.0,1.0,0.984,0.019595917942265388
0,20,0.01748690605163574,0.0010273126256912797,0.006072282791137695,0.0007132752018884414,0.010640417625232908,-0.4029869239946048,2,scale,sigmoid,False,True,0.008886914418635709,"{'svc__C': 0.010640417625232908, 'svc__coef0': -0.4029869239946048, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'sigmoid', 'svc__probability': False, 'svc__shrinking': True, 'svc__tol': 0.008886914418635709}",1.0,0.6666666666666666,0.8,1.0,1.0,0.8933333333333333,0.13727506854649335,917,0.8695652173913044,0.9166666666666666,0.8181818181818181,0.9655172413793104,0.9655172413793104,0.907089636999682,0.0569771387807825
0,20,0.024456214904785157,0.004182907399522895,0.008855628967285156,0.0020440311574972266,1993.1713439007387,-0.40809603807962247,3,auto,sigmoid,True,True,0.00054302590065382,"{'svc__C': 1993.1713439007387, 'svc__coef0': -0.40809603807962247, 'svc__degree': 3, 'svc__gamma': 'auto', 'svc__kernel': 'sigmoid', 'svc__probability': True, 'svc__shrinking': True, 'svc__tol': 0.00054302590065382}",1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9428571428571428,0.06998542122237654,343,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.020205354690551756,0.0011502463823208151,0.006896591186523438,0.0005953612890950287,25.79115556220635,-0.05000226683599396,4,scale,linear,True,False,1.276751905786318e-05,"{'svc__C': 25.79115556220635, 'svc__coef0': -0.05000226683599396, 'svc__degree': 4, 'svc__gamma': 'scale', 'svc__kernel': 'linear', 'svc__probability': True, 'svc__shrinking': False, 'svc__tol': 1.276751905786318e-05}",1.0,0.6666666666666666,0.8571428571428571,1.0,1.0,0.9047619047619048,0.13127665478181164,668,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.021779966354370118,0.0015163570784189101,0.0076121330261230465,0.0012757906764292526,112.5517695877028,-0.7944206241875886,2,scale,rbf,True,False,0.00021324959203827847,"{'svc__C': 112.5517695877028, 'svc__coef0': -0.7944206241875886, 'svc__degree': 2, 'svc__gamma': 'scale', 'svc__kernel': 'rbf', 'svc__probability': True, 'svc__shrinking': False, 'svc__tol': 0.00021324959203827847}",1.0,1.0,0.8571428571428571,1.0,1.0,0.9714285714285715,0.05714285714285716,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.022152233123779296,0.003017460931963405,0.006722211837768555,0.00020985895326884705,3761.680408922053,-0.3234114465685034,4,auto,rbf,True,False,0.0010470621583708987,"{'svc__C': 3761.680408922053, 'svc__coef0': -0.3234114465685034, 'svc__degree': 4, 'svc__gamma': 'auto', 'svc__kernel': 'rbf', 'svc__probability': True, 'svc__shrinking': False, 'svc__tol': 0.0010470621583708987}",1.0,1.0,0.8571428571428571,1.0,1.0,0.9714285714285715,0.05714285714285716,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
