mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lgbmclassifier__boosting_type,param_lgbmclassifier__colsample_bytree,param_lgbmclassifier__learning_rate,param_lgbmclassifier__max_depth,param_lgbmclassifier__min_child_samples,param_lgbmclassifier__min_child_weight,param_lgbmclassifier__min_split_gain,param_lgbmclassifier__n_estimators,param_lgbmclassifier__num_leaves,param_lgbmclassifier__reg_alpha,param_lgbmclassifier__reg_lambda,param_lgbmclassifier__scale_pos_weight,param_lgbmclassifier__subsample,param_lgbmclassifier__subsample_freq,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
22.931006526947023,0.39978802037432765,0.35044450759887696,0.016325002929876046,dart,0.6944278172577228,0.10701680252785212,15,82,3.186234735940892,0.8195632037500576,219,525,7.240003238041617,4.681245866606264,1.233560230588421,0.48994247530084883,8,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.6944278172577228, 'lgbmclassifier__learning_rate': 0.10701680252785212, 'lgbmclassifier__max_depth': 15, 'lgbmclassifier__min_child_samples': 82, 'lgbmclassifier__min_child_weight': 3.186234735940892, 'lgbmclassifier__min_split_gain': 0.8195632037500576, 'lgbmclassifier__n_estimators': 219, 'lgbmclassifier__num_leaves': 525, 'lgbmclassifier__reg_alpha': 7.240003238041617, 'lgbmclassifier__reg_lambda': 4.681245866606264, 'lgbmclassifier__scale_pos_weight': 1.233560230588421, 'lgbmclassifier__subsample': 0.48994247530084883, 'lgbmclassifier__subsample_freq': 8}",0.5686900958466453,0.946046159667045,0.9364493026762157,0.8263098444695456,0.7508255495801491,0.8056641904479201,0.13885394048186472,67
67.4722556591034,1.6293088420228048,0.80508451461792,0.04856344730113504,dart,0.827882646169131,0.19742170913894297,-1,49,5.741018210232945,0.6313148163417936,337,469,6.260842629790421,6.413849906655113,1.340750940722491,0.4673578821940792,2,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.827882646169131, 'lgbmclassifier__learning_rate': 0.19742170913894297, 'lgbmclassifier__max_depth': -1, 'lgbmclassifier__min_child_samples': 49, 'lgbmclassifier__min_child_weight': 5.741018210232945, 'lgbmclassifier__min_split_gain': 0.6313148163417936, 'lgbmclassifier__n_estimators': 337, 'lgbmclassifier__num_leaves': 469, 'lgbmclassifier__reg_alpha': 6.260842629790421, 'lgbmclassifier__reg_lambda': 6.413849906655113, 'lgbmclassifier__scale_pos_weight': 1.340750940722491, 'lgbmclassifier__subsample': 0.4673578821940792, 'lgbmclassifier__subsample_freq': 2}",0.5837143479207489,0.9480062841325653,0.9393826145451828,0.8348702185792349,0.7947055645596974,0.8201358059474858,0.13215866710900848,35
36.225148344039916,3.8690236342713495,0.5275395393371582,0.04060873082724423,dart,0.6979936697402002,0.09845421564407027,-1,42,1.9913103492988746,0.6603472958745915,208,674,5.9024741964111875,2.05549851114534,0.9439830184233896,0.965933739005123,8,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.6979936697402002, 'lgbmclassifier__learning_rate': 0.09845421564407027, 'lgbmclassifier__max_depth': -1, 'lgbmclassifier__min_child_samples': 42, 'lgbmclassifier__min_child_weight': 1.9913103492988746, 'lgbmclassifier__min_split_gain': 0.6603472958745915, 'lgbmclassifier__n_estimators': 208, 'lgbmclassifier__num_leaves': 674, 'lgbmclassifier__reg_alpha': 5.9024741964111875, 'lgbmclassifier__reg_lambda': 2.05549851114534, 'lgbmclassifier__scale_pos_weight': 0.9439830184233896, 'lgbmclassifier__subsample': 0.965933739005123, 'lgbmclassifier__subsample_freq': 8}",0.5774324176425523,0.9463340891912321,0.9364588829426397,0.8209606986899564,0.7496229260935144,0.806161802911979,0.13591054594779617,64
11.783232355117798,0.6759794810664336,0.2095320701599121,0.008925752626325386,dart,0.7970919216809753,0.011156549843029448,10,138,4.869780783054313,0.7450577145288233,114,374,5.7104963037119285,4.733871701032254,1.2469806148691207,0.9202714780844843,3,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.7970919216809753, 'lgbmclassifier__learning_rate': 0.011156549843029448, 'lgbmclassifier__max_depth': 10, 'lgbmclassifier__min_child_samples': 138, 'lgbmclassifier__min_child_weight': 4.869780783054313, 'lgbmclassifier__min_split_gain': 0.7450577145288233, 'lgbmclassifier__n_estimators': 114, 'lgbmclassifier__num_leaves': 374, 'lgbmclassifier__reg_alpha': 5.7104963037119285, 'lgbmclassifier__reg_lambda': 4.733871701032254, 'lgbmclassifier__scale_pos_weight': 1.2469806148691207, 'lgbmclassifier__subsample': 0.9202714780844843, 'lgbmclassifier__subsample_freq': 3}",0.6576891447368421,0.9388730440144916,0.9168100078186083,0.8302808302808302,0.7450161382191002,0.8177338330139744,0.10540435415879706,43
19.06811785697937,0.2335418821968208,0.309188175201416,0.031244581673021365,dart,0.8861050088066997,0.027664331461150174,10,148,5.041218335018794,0.3092404561344062,159,322,7.448121209920023,6.7564437025894755,0.9691161441438565,0.9819073079787155,9,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.8861050088066997, 'lgbmclassifier__learning_rate': 0.027664331461150174, 'lgbmclassifier__max_depth': 10, 'lgbmclassifier__min_child_samples': 148, 'lgbmclassifier__min_child_weight': 5.041218335018794, 'lgbmclassifier__min_split_gain': 0.3092404561344062, 'lgbmclassifier__n_estimators': 159, 'lgbmclassifier__num_leaves': 322, 'lgbmclassifier__reg_alpha': 7.448121209920023, 'lgbmclassifier__reg_lambda': 6.7564437025894755, 'lgbmclassifier__scale_pos_weight': 0.9691161441438565, 'lgbmclassifier__subsample': 0.9819073079787155, 'lgbmclassifier__subsample_freq': 9}",0.5906185678691366,0.9290373280943025,0.9108895220006332,0.795984807379273,0.7071203776553895,0.786730120599747,0.12692517463024397,86
6.053861379623413,0.09003840161882803,0.27863540649414065,0.020931597398143036,gbdt,0.9383213237583521,0.19246957347671056,20,67,3.9915118268476313,0.2388194112716906,111,305,6.063186858056577,3.637258508974811,1.4157917541703606,0.657508715511292,3,"{'lgbmclassifier__boosting_type': 'gbdt', 'lgbmclassifier__colsample_bytree': 0.9383213237583521, 'lgbmclassifier__learning_rate': 0.19246957347671056, 'lgbmclassifier__max_depth': 20, 'lgbmclassifier__min_child_samples': 67, 'lgbmclassifier__min_child_weight': 3.9915118268476313, 'lgbmclassifier__min_split_gain': 0.2388194112716906, 'lgbmclassifier__n_estimators': 111, 'lgbmclassifier__num_leaves': 305, 'lgbmclassifier__reg_alpha': 6.063186858056577, 'lgbmclassifier__reg_lambda': 3.637258508974811, 'lgbmclassifier__scale_pos_weight': 1.4157917541703606, 'lgbmclassifier__subsample': 0.657508715511292, 'lgbmclassifier__subsample_freq': 3}",0.5985574335235224,0.947776783049836,0.9414655942806076,0.83258302896458,0.8170078186769745,0.8274781316991042,0.12649528103976276,16
5.082180118560791,0.07193829727669719,0.21003189086914062,0.014017867048500304,gbdt,0.9375253967848315,0.17058662557054355,25,135,9.054147697223968,0.020674372048289702,88,695,5.6034905388543965,6.3236593102202665,0.9577935383871942,0.6556935038315176,9,"{'lgbmclassifier__boosting_type': 'gbdt', 'lgbmclassifier__colsample_bytree': 0.9375253967848315, 'lgbmclassifier__learning_rate': 0.17058662557054355, 'lgbmclassifier__max_depth': 25, 'lgbmclassifier__min_child_samples': 135, 'lgbmclassifier__min_child_weight': 9.054147697223968, 'lgbmclassifier__min_split_gain': 0.020674372048289702, 'lgbmclassifier__n_estimators': 88, 'lgbmclassifier__num_leaves': 695, 'lgbmclassifier__reg_alpha': 5.6034905388543965, 'lgbmclassifier__reg_lambda': 6.3236593102202665, 'lgbmclassifier__scale_pos_weight': 0.9577935383871942, 'lgbmclassifier__subsample': 0.6556935038315176, 'lgbmclassifier__subsample_freq': 9}",0.5611781641014284,0.9465188202459078,0.933212587729228,0.8165721761883994,0.7667500695023632,0.8048463635534654,0.1396509836850349,69
6.245689773559571,0.051855060338712684,0.31902179718017576,0.020672819458767977,gbdt,0.9354136937622208,0.09142219018421972,15,188,2.092788323070903,0.7129922669796115,142,741,7.373570692410056,5.289818435850426,0.735655906451695,0.6987731272907723,9,"{'lgbmclassifier__boosting_type': 'gbdt', 'lgbmclassifier__colsample_bytree': 0.9354136937622208, 'lgbmclassifier__learning_rate': 0.09142219018421972, 'lgbmclassifier__max_depth': 15, 'lgbmclassifier__min_child_samples': 188, 'lgbmclassifier__min_child_weight': 2.092788323070903, 'lgbmclassifier__min_split_gain': 0.7129922669796115, 'lgbmclassifier__n_estimators': 142, 'lgbmclassifier__num_leaves': 741, 'lgbmclassifier__reg_alpha': 7.373570692410056, 'lgbmclassifier__reg_lambda': 5.289818435850426, 'lgbmclassifier__scale_pos_weight': 0.735655906451695, 'lgbmclassifier__subsample': 0.6987731272907723, 'lgbmclassifier__subsample_freq': 9}",0.5288788221970554,0.9399923165578179,0.9244703715075223,0.790949247273055,0.7036708985336089,0.777592331213812,0.15195269589170826,95
5.207319211959839,0.04467104186693993,0.1240473747253418,0.011600812331889655,dart,0.6992437904511375,0.11994960612163556,25,33,6.673302115173125,0.7582963427868163,51,372,6.526081132381991,6.5012665509895395,0.7898942132465774,0.7673279378997249,1,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.6992437904511375, 'lgbmclassifier__learning_rate': 0.11994960612163556, 'lgbmclassifier__max_depth': 25, 'lgbmclassifier__min_child_samples': 33, 'lgbmclassifier__min_child_weight': 6.673302115173125, 'lgbmclassifier__min_split_gain': 0.7582963427868163, 'lgbmclassifier__n_estimators': 51, 'lgbmclassifier__num_leaves': 372, 'lgbmclassifier__reg_alpha': 6.526081132381991, 'lgbmclassifier__reg_lambda': 6.5012665509895395, 'lgbmclassifier__scale_pos_weight': 0.7898942132465774, 'lgbmclassifier__subsample': 0.7673279378997249, 'lgbmclassifier__subsample_freq': 1}",0.5615239782921697,0.9343236903831119,0.9160269465768447,0.797620120796899,0.6881118881118882,0.7795213248321827,0.1405728649373276,92
45.277066707611084,1.2246058141828775,0.5620064258575439,0.057545060440911726,dart,0.8296857846815922,0.07018962138317397,25,134,4.623805421538731,0.8780480364282873,233,275,5.574869514510148,1.2706553112361265,1.0843208201274268,0.8171321660452537,7,"{'lgbmclassifier__boosting_type': 'dart', 'lgbmclassifier__colsample_bytree': 0.8296857846815922, 'lgbmclassifier__learning_rate': 0.07018962138317397, 'lgbmclassifier__max_depth': 25, 'lgbmclassifier__min_child_samples': 134, 'lgbmclassifier__min_child_weight': 4.623805421538731, 'lgbmclassifier__min_split_gain': 0.8780480364282873, 'lgbmclassifier__n_estimators': 233, 'lgbmclassifier__num_leaves': 275, 'lgbmclassifier__reg_alpha': 5.574869514510148, 'lgbmclassifier__reg_lambda': 1.2706553112361265, 'lgbmclassifier__scale_pos_weight': 1.0843208201274268, 'lgbmclassifier__subsample': 0.8171321660452537, 'lgbmclassifier__subsample_freq': 7}",0.5578865578865579,0.944836482282419,0.9337668229245425,0.8219416630387462,0.7506358926048046,0.801813483747414,0.1416981978901708,74
