mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_sgdclassifier__alpha,param_sgdclassifier__class_weight,param_sgdclassifier__eta0,param_sgdclassifier__learning_rate,param_sgdclassifier__loss,param_sgdclassifier__max_iter,param_sgdclassifier__penalty,param_sgdclassifier__shuffle,param_sgdclassifier__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
28.170818424224855,0.21604400846867608,0.012549591064453126,0.0023582137658557088,0.0064713822719617035,,0.24914325325501924,optimal,hinge,970,l1,True,7.668057230526242e-05,"{'sgdclassifier__alpha': 0.0064713822719617035, 'sgdclassifier__class_weight': None, 'sgdclassifier__eta0': 0.24914325325501924, 'sgdclassifier__learning_rate': 'optimal', 'sgdclassifier__loss': 'hinge', 'sgdclassifier__max_iter': 970, 'sgdclassifier__penalty': 'l1', 'sgdclassifier__shuffle': True, 'sgdclassifier__tol': 7.668057230526242e-05}",0.9335627712105343,0.9382273948075203,0.934905022899617,0.9357444600904172,0.944896910998606,0.937467312001339,0.004013867214227955,4
28.31148319244385,0.1844932609506263,0.012035465240478516,0.00390426327650789,0.0002183831579019719,,0.08349464465485794,constant,perceptron,808,l2,True,0.0008840564087086619,"{'sgdclassifier__alpha': 0.0002183831579019719, 'sgdclassifier__class_weight': None, 'sgdclassifier__eta0': 0.08349464465485794, 'sgdclassifier__learning_rate': 'constant', 'sgdclassifier__loss': 'perceptron', 'sgdclassifier__max_iter': 808, 'sgdclassifier__penalty': 'l2', 'sgdclassifier__shuffle': True, 'sgdclassifier__tol': 0.0008840564087086619}",0.9338426279602751,0.8078193341069356,0.9385971521133127,0.7533767828468877,0.9403482771396814,0.8747968348334185,0.07884502823565209,27
29.98633031845093,0.9513990231284228,0.010092830657958985,0.0004158741938627163,0.00042582703791116996,balanced,0.03942361989336373,adaptive,log,539,elasticnet,False,0.0004533973175888666,"{'sgdclassifier__alpha': 0.00042582703791116996, 'sgdclassifier__class_weight': 'balanced', 'sgdclassifier__eta0': 0.03942361989336373, 'sgdclassifier__learning_rate': 'adaptive', 'sgdclassifier__loss': 'log', 'sgdclassifier__max_iter': 539, 'sgdclassifier__penalty': 'elasticnet', 'sgdclassifier__shuffle': False, 'sgdclassifier__tol': 0.0004533973175888666}",0.9473684210526314,0.9464627151051626,0.954675071289209,0.9159651002602174,0.8293855132166151,0.918771364184767,0.04662914159976958,18
49.26538381576538,0.1370535809137671,0.011284589767456055,0.0007651064912282629,0.00022442779991895835,balanced,0.18740632980993777,invscaling,log,1073,l2,True,2.1910142281756503e-06,"{'sgdclassifier__alpha': 0.00022442779991895835, 'sgdclassifier__class_weight': 'balanced', 'sgdclassifier__eta0': 0.18740632980993777, 'sgdclassifier__learning_rate': 'invscaling', 'sgdclassifier__loss': 'log', 'sgdclassifier__max_iter': 1073, 'sgdclassifier__penalty': 'l2', 'sgdclassifier__shuffle': True, 'sgdclassifier__tol': 2.1910142281756503e-06}",0.9389273227702151,0.9373501199040768,0.9338263034784576,0.9169450349225631,0.9288395135865485,0.9311776589323723,0.007914624335255417,10
30.046540451049804,1.2524296056806175,0.013666391372680664,0.001438688906107945,1.2831882178943373e-05,,0.060822104111747426,constant,log,961,l2,True,8.088598352338259e-05,"{'sgdclassifier__alpha': 1.2831882178943373e-05, 'sgdclassifier__class_weight': None, 'sgdclassifier__eta0': 0.060822104111747426, 'sgdclassifier__learning_rate': 'constant', 'sgdclassifier__loss': 'log', 'sgdclassifier__max_iter': 961, 'sgdclassifier__penalty': 'l2', 'sgdclassifier__shuffle': True, 'sgdclassifier__tol': 8.088598352338259e-05}",0.9308748766977768,0.9298566636169564,0.9365472704062477,0.9192575051562141,0.932933233308327,0.9298939098371044,0.00578967152477711,14
27.862204027175903,0.16228030073166627,0.010430383682250976,0.0004863306895863104,0.00015207600260357454,balanced,0.4662215396645156,constant,hinge,1731,l1,False,5.603287860650259e-05,"{'sgdclassifier__alpha': 0.00015207600260357454, 'sgdclassifier__class_weight': 'balanced', 'sgdclassifier__eta0': 0.4662215396645156, 'sgdclassifier__learning_rate': 'constant', 'sgdclassifier__loss': 'hinge', 'sgdclassifier__max_iter': 1731, 'sgdclassifier__penalty': 'l1', 'sgdclassifier__shuffle': False, 'sgdclassifier__tol': 5.603287860650259e-05}",0.0,0.0,0.0012338062924120911,0.00030864197530864197,0.0,0.0003084896535441466,0.0004778511283651327,40
32.303027391433716,0.7487940207492606,0.01132965087890625,0.0012519825656259753,9.610781227641831e-05,balanced,0.3482169250600627,invscaling,log,1666,l2,True,4.330474418535254e-05,"{'sgdclassifier__alpha': 9.610781227641831e-05, 'sgdclassifier__class_weight': 'balanced', 'sgdclassifier__eta0': 0.3482169250600627, 'sgdclassifier__learning_rate': 'invscaling', 'sgdclassifier__loss': 'log', 'sgdclassifier__max_iter': 1666, 'sgdclassifier__penalty': 'l2', 'sgdclassifier__shuffle': True, 'sgdclassifier__tol': 4.330474418535254e-05}",0.939698118819243,0.938225383751404,0.9340277777777778,0.9150117933500723,0.9256858607175158,0.9305297868832024,0.009162840235851752,12
29.81635398864746,0.1798896965323868,0.012412834167480468,0.001082841757527817,1.276751905786318e-05,balanced,0.0557573205440468,optimal,log,1479,l2,True,4.42234521604682e-06,"{'sgdclassifier__alpha': 1.276751905786318e-05, 'sgdclassifier__class_weight': 'balanced', 'sgdclassifier__eta0': 0.0557573205440468, 'sgdclassifier__learning_rate': 'optimal', 'sgdclassifier__loss': 'log', 'sgdclassifier__max_iter': 1479, 'sgdclassifier__penalty': 'l2', 'sgdclassifier__shuffle': True, 'sgdclassifier__tol': 4.42234521604682e-06}",0.9368057640348245,0.9410442729792494,0.9375937593759376,0.9202837745060646,0.9282311124555699,0.9327917366703293,0.007543535033511366,7
30.207143831253052,0.14569231272132716,0.012359094619750977,0.0012238903774043504,0.00021324959203827847,balanced,0.17972862808625606,adaptive,perceptron,1539,l1,True,2.2503944426774252e-06,"{'sgdclassifier__alpha': 0.00021324959203827847, 'sgdclassifier__class_weight': 'balanced', 'sgdclassifier__eta0': 0.17972862808625606, 'sgdclassifier__learning_rate': 'adaptive', 'sgdclassifier__loss': 'perceptron', 'sgdclassifier__max_iter': 1539, 'sgdclassifier__penalty': 'l1', 'sgdclassifier__shuffle': True, 'sgdclassifier__tol': 2.2503944426774252e-06}",0.9446379604239235,0.9478094678035871,0.6039540816326531,0.9416617560400707,0.9469907746375751,0.8770108081075619,0.13654508310626265,26
30.85163860321045,0.4324499437588407,0.01186819076538086,0.0005113657665052981,0.0010470621583708987,balanced,0.2610451256496282,adaptive,hinge,1441,elasticnet,True,1.2465171577847143e-05,"{'sgdclassifier__alpha': 0.0010470621583708987, 'sgdclassifier__class_weight': 'balanced', 'sgdclassifier__eta0': 0.2610451256496282, 'sgdclassifier__learning_rate': 'adaptive', 'sgdclassifier__loss': 'hinge', 'sgdclassifier__max_iter': 1441, 'sgdclassifier__penalty': 'elasticnet', 'sgdclassifier__shuffle': True, 'sgdclassifier__tol': 1.2465171577847143e-05}",0.9430870303388204,0.9436838599866796,0.9435776085188198,0.9406904691649455,0.9466822909037644,0.9435442517826059,0.001908979796956221,1
