iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__bootstrap,param_randomforestclassifier__class_weight,param_randomforestclassifier__criterion,param_randomforestclassifier__max_features,param_randomforestclassifier__min_samples_leaf,param_randomforestclassifier__min_samples_split,param_randomforestclassifier__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,20,1.3160672187805176,0.02179273069336704,0.088862943649292,0.006170543869217964,True,balanced,entropy,auto,7,10,490,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 7, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 490}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.628654146194458,0.020778276559029155,0.05329632759094238,0.0013297103000713764,False,balanced,entropy,sqrt,5,9,300,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 9, 'randomforestclassifier__n_estimators': 300}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.7710836410522461,0.018398818389673905,0.13256397247314453,0.007486393192757295,True,balanced,entropy,sqrt,4,7,718,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 7, 'randomforestclassifier__n_estimators': 718}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.2211823463439941,0.013178667468942645,0.08974280357360839,0.0038341085874630592,True,,entropy,sqrt,2,6,495,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 6, 'randomforestclassifier__n_estimators': 495}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,2.260333776473999,0.10163849572176839,0.18304829597473143,0.007996697739404915,False,,gini,sqrt,2,10,999,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 999}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,2.309006357192993,0.017752009368407894,0.16290717124938964,0.01366596391863898,False,balanced,entropy,auto,5,16,863,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 5, 'randomforestclassifier__min_samples_split': 16, 'randomforestclassifier__n_estimators': 863}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.5230220317840577,0.09224385921785963,0.13254637718200685,0.019770892130228986,False,balanced,gini,auto,4,5,588,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 588}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.753270721435547,0.006985587276840575,0.15056324005126953,0.011886978690352837,False,,entropy,auto,3,11,749,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 3, 'randomforestclassifier__min_samples_split': 11, 'randomforestclassifier__n_estimators': 749}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.8850526332855224,0.04706090469289813,0.171659517288208,0.018756158463758252,False,,entropy,sqrt,7,2,870,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 7, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 870}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,2.8733325481414793,0.05170857207399431,0.19607143402099608,0.010271254382694963,True,balanced,entropy,auto,1,9,950,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 9, 'randomforestclassifier__n_estimators': 950}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.7825821399688722,0.027456306524091572,0.12141604423522949,0.008157517949889432,True,balanced,gini,sqrt,7,19,614,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': 'balanced', 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 7, 'randomforestclassifier__min_samples_split': 19, 'randomforestclassifier__n_estimators': 614}",1.0,0.8571428571428571,0.8571428571428571,1.0,1.0,0.9428571428571428,0.06998542122237654,232,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.381394624710083,0.0476919675572679,0.1035501480102539,0.026377635386033518,True,,entropy,sqrt,7,17,478,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 7, 'randomforestclassifier__min_samples_split': 17, 'randomforestclassifier__n_estimators': 478}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.5306413650512696,0.04696349644826119,0.15671682357788086,0.0075296525160672804,False,,entropy,auto,4,19,688,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'auto', 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 19, 'randomforestclassifier__n_estimators': 688}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.9362576961517335,0.03941641850598289,0.1937732696533203,0.011368138321995914,False,,entropy,sqrt,4,6,867,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'entropy', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 6, 'randomforestclassifier__n_estimators': 867}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,0.7419709682464599,0.013218097772865497,0.05426702499389648,0.0030937689244838625,True,,gini,sqrt,9,19,243,"{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 9, 'randomforestclassifier__min_samples_split': 19, 'randomforestclassifier__n_estimators': 243}",1.0,0.8571428571428571,0.6666666666666666,1.0,1.0,0.9047619047619048,0.13127665478181164,509,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,20,1.9085841178894043,0.017703375946778233,0.16929302215576172,0.012610812466263157,False,,gini,sqrt,7,12,842,"{'randomforestclassifier__bootstrap': False, 'randomforestclassifier__class_weight': None, 'randomforestclassifier__criterion': 'gini', 'randomforestclassifier__max_features': 'sqrt', 'randomforestclassifier__min_samples_leaf': 7, 'randomforestclassifier__min_samples_split': 12, 'randomforestclassifier__n_estimators': 842}",1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.8666666666666666,0.16329931618554522,1527,1.0,1.0,1.0,1.0,1.0,1.0,0.0
